table_id,staff_id,start_time,end_time,activity_type
20,O,2021-08-18 20:57:17,2021-08-18 20:57:22,F
17,Q,2021-08-18 20:58:16,2021-08-18 20:58:28,S
20,AO,2021-08-18 20:59:04,2021-08-18 20:59:22,S
20,Q,2021-08-18 20:59:15,2021-08-18 20:59:40,S&R
11,O,2021-08-18 21:02:03,2021-08-18 21:02:36,P
16,O,2021-08-18 21:02:37,2021-08-18 21:03:09,R
20,A,2021-08-18 21:02:57,2021-08-18 21:03:07,S
20,A,2021-08-18 21:03:22,2021-08-18 21:03:31,S
13,HM,2021-08-18 21:04:26,2021-08-18 21:06:44,S
20,O,2021-08-18 21:06:31,2021-08-18 21:06:52,R
20,O,2021-08-18 21:07:43,2021-08-18 21:08:03,S
31,O,2021-08-18 21:10:18,2021-08-18 21:10:27,P&R
31,HM,2021-08-18 21:11:56,2021-08-18 21:12:18,C
17,HM,2021-08-18 21:13:45,2021-08-18 21:14:18,S
17,HM,2021-08-18 21:15:06,2021-08-18 21:15:18,S
12,HM,2021-08-18 21:15:19,2021-08-18 21:16:22,O
20,Q,2021-08-18 21:16:10,2021-08-18 21:16:30,S
15,O,2021-08-18 21:16:53,2021-08-18 21:16:56,S
12,Q,2021-08-18 21:17:45,2021-08-18 21:18:11,S
20,O,2021-08-18 21:17:55,2021-08-18 21:18:10,W
12,O,2021-08-18 21:20:09,2021-08-18 21:20:27,P&R
16,O,2021-08-18 21:21:11,2021-08-18 21:21:53,O
16,HM,2021-08-18 21:23:37,2021-08-18 21:24:24,S
12,HM,2021-08-18 21:26:14,2021-08-18 21:26:39,S
14,O,2021-08-18 21:27:58,2021-08-18 21:28:05,P
17,O,2021-08-18 21:28:27,2021-08-18 21:28:38,F
15,HM,2021-08-18 21:28:58,2021-08-18 21:29:13,S
14,Q,2021-08-18 21:29:18,2021-08-18 21:29:56,S
16,HM,2021-08-18 21:32:16,2021-08-18 21:32:26,S
12,HM,2021-08-18 21:32:28,2021-08-18 21:32:38,S
17,O,2021-08-18 21:32:48,2021-08-18 21:33:45,P
16,HM,2021-08-18 21:32:55,2021-08-18 21:32:58,S
32,O,2021-08-18 21:34:52,2021-08-18 21:35:00,S
16,H,2021-08-18 21:35:55,2021-08-18 21:36:05,S
32,O,2021-08-18 21:37:27,2021-08-18 21:38:08,F&R
20,O,2021-08-18 21:42:14,2021-08-18 21:42:19,S
20,O,2021-08-18 21:42:31,2021-08-18 21:42:35,S
12,O,2021-08-18 21:43:11,2021-08-18 21:43:29,F
13,O,2021-08-18 21:43:32,2021-08-18 21:43:42,F
16,O,2021-08-18 21:43:43,2021-08-18 21:44:20,F
14,O,2021-08-18 21:44:21,2021-08-18 21:47:22,F&R&P
13,HM,2021-08-18 21:46:10,2021-08-18 21:46:46,S
20,O,2021-08-18 21:47:53,2021-08-18 21:48:32,F
32,O,2021-08-18 21:48:42,2021-08-18 21:48:50,F
20,O,2021-08-18 21:56:17,2021-08-18 21:56:34,F
12,O,2021-08-18 21:56:56,2021-08-18 21:57:01,R
12,O,2021-08-18 21:57:08,2021-08-18 21:57:14,W
20,O,2021-08-18 21:58:06,2021-08-18 21:58:14,F
